"id","user_id","track_id","name","artists","album_name","album_image","spotify_url"
1,1,"5w9upngVRHNjdZcRC7Xxr2",Delilah (pull me out of this),"Fred again.., Delilah Montagu",Actual Life 3 (January 1 - September 9 2022),https://i.scdn.co/image/ab67616d0000b2737622b889949b07f15c6b57e2,https://open.spotify.com/track/5w9upngVRHNjdZcRC7Xxr2
2,1,"2xGjfbXZnI8uQDhukoQURQ",K.,Cigarettes After Sex,Cigarettes After Sex,https://i.scdn.co/image/ab67616d0000b273dfed999f959177dfc4f33cdc,https://open.spotify.com/track/2xGjfbXZnI8uQDhukoQURQ
3,1,"1BLOVHYYlH4JUHQGcpt75R",Ode To The Mets,The Strokes,The New Abnormal,https://i.scdn.co/image/ab67616d0000b273bfa99afb5ef0d26d5064b23b,https://open.spotify.com/track/1BLOVHYYlH4JUHQGcpt75R
4,1,"5ZP8LfM7TezqoxF9yp6VzX",Stop Waiting,Cigarettes After Sex,Bubblegum,https://i.scdn.co/image/ab67616d0000b273f00e7eae8e4ed688e17fc118,https://open.spotify.com/track/5ZP8LfM7TezqoxF9yp6VzX
5,1,"5TTGoX70AFrTvuEtqHK37S",No. 1 Party Anthem,Arctic Monkeys,AM,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,https://open.spotify.com/track/5TTGoX70AFrTvuEtqHK37S
6,1,"2LMkwUfqC6S6s6qDVlEuzV",White Ferrari,Frank Ocean,Blonde,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,https://open.spotify.com/track/2LMkwUfqC6S6s6qDVlEuzV
7,1,"5HNCy40Ni5BZJFw1TKzRsC",Comfortably Numb,Pink Floyd,The Wall,https://i.scdn.co/image/ab67616d0000b2735d48e2f56d691f9a4e4b0bdf,https://open.spotify.com/track/5HNCy40Ni5BZJFw1TKzRsC
8,1,"3xKsf9qdS1CyvXSMEid6g8",Pink + White,Frank Ocean,Blonde,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,https://open.spotify.com/track/3xKsf9qdS1CyvXSMEid6g8
9,1,"4sjTEUQidmfdKzJ5YclilU",Motion Picture Soundtrack,Cigarettes After Sex,Motion Picture Soundtrack,https://i.scdn.co/image/ab67616d0000b273c1193bd23ab3d5ba57385466,https://open.spotify.com/track/4sjTEUQidmfdKzJ5YclilU
10,1,"5hc71nKsUgtwQ3z52KEKQk",Somebody Else,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",https://i.scdn.co/image/ab67616d0000b273d3de03550f715df1ea7e0c08,https://open.spotify.com/track/5hc71nKsUgtwQ3z52KEKQk
11,1,"1oAwsWBovWRIp7qLMGPIet",Apocalypse,Cigarettes After Sex,Cigarettes After Sex,https://i.scdn.co/image/ab67616d0000b273dfed999f959177dfc4f33cdc,https://open.spotify.com/track/1oAwsWBovWRIp7qLMGPIet
12,1,"4S1VYqwfkLit9mKVY3MXoo",Forever Young,Alphaville,Forever Young,https://i.scdn.co/image/ab67616d0000b273b9c4979446c4d39bc08e9503,https://open.spotify.com/track/4S1VYqwfkLit9mKVY3MXoo
13,1,"3xQgvGwf3KnaYry1bPsQIb",Silver Sable,Cigarettes After Sex,X's,https://i.scdn.co/image/ab67616d0000b273967004d2f641e38309a0b547,https://open.spotify.com/track/3xQgvGwf3KnaYry1bPsQIb
14,1,"40riOy7x9W7GXjyGp4pjAv",Hotel California - 2013 Remaster,Eagles,Hotel California (2013 Remaster),https://i.scdn.co/image/ab67616d0000b2734637341b9f507521afa9a778,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv
15,1,"1Vk4yRsz0iBzDiZEoFMQyv",Mia & Sebastian’s Theme,Justin Hurwitz,La La Land (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b2730bdf4dd39843ad48c5b66bc4,https://open.spotify.com/track/1Vk4yRsz0iBzDiZEoFMQyv
16,1,"0yuAWlxq59xT3agQ965OxE",Sunsetz,Cigarettes After Sex,Cigarettes After Sex,https://i.scdn.co/image/ab67616d0000b273dfed999f959177dfc4f33cdc,https://open.spotify.com/track/0yuAWlxq59xT3agQ965OxE
17,1,"4wjE62bHELzlZvE52cxMfL","Model, Actress, Whatever",Suki Waterhouse,Memoir of a Sparklemuffin,https://i.scdn.co/image/ab67616d0000b273a9b6153a531deea48b17b26b,https://open.spotify.com/track/4wjE62bHELzlZvE52cxMfL
