"id","user_id","artist_id","name","genres","popularity","image_url","spotify_url"
25,1,"2h93pZq0e7k5yf4dywlkpM",Frank Ocean,"",88,https://i.scdn.co/image/ab6761610000e5ebee3123e593174208f9754fab,https://open.spotify.com/artist/2h93pZq0e7k5yf4dywlkpM
26,1,"0k17h0D3J5VfsdmQ1iZtE9",Pink Floyd,"progressive rock, psychedelic rock, classic rock, symphonic rock, art rock, rock",81,https://i.scdn.co/image/e69f71e2be4b67b82af90fb8e9d805715e0684fa,https://open.spotify.com/artist/0k17h0D3J5VfsdmQ1iZtE9
27,1,"699OTQXzgjhIYAHMy9RyPD",Playboi Carti,rage rap,95,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a,https://open.spotify.com/artist/699OTQXzgjhIYAHMy9RyPD
28,1,"0epOFNiUfyON9EYx7Tpr6V",The Strokes,"garage rock, indie rock, alternative rock",77,https://i.scdn.co/image/ab6761610000e5ebc3b137793230f4043feb0089,https://open.spotify.com/artist/0epOFNiUfyON9EYx7Tpr6V
29,1,"4Z8W4fKeB5YxbusRsdQVPb",Radiohead,"art rock, alternative rock",85,https://i.scdn.co/image/ab6761610000e5eba03696716c9ee605006047fd,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb
30,1,"66CXWjxzNUsdJxJ2JdwvnR",Ariana Grande,pop,94,https://i.scdn.co/image/ab6761610000e5eb40b5c07ab77b6b1a9075fdc0,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR
31,1,"4tZwfgrHOc3mvqYlEYSvVi",Daft Punk,"french house, electronic, electro",82,https://i.scdn.co/image/ab6761610000e5ebdc93bb227980211b325b9d70,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi
32,1,"3mIj9lX2MWuHmhNCA7LSCW",The 1975,"",78,https://i.scdn.co/image/ab6761610000e5eb0c6e752cbb1e6d1416970f5a,https://open.spotify.com/artist/3mIj9lX2MWuHmhNCA7LSCW
33,1,"2YZyLoL8N0Wb9xBt1NhZWg",Kendrick Lamar,"hip hop, west coast hip hop",97,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg
34,1,"5GGJosGMs08YEmKTZJe1fL",Suki Waterhouse,"",71,https://i.scdn.co/image/ab6761610000e5ebc2bb10016e2e142f397f780c,https://open.spotify.com/artist/5GGJosGMs08YEmKTZJe1fL
35,1,"5he5w2lnU9x7JFhnwcekXX",Skrillex,"dubstep, edm, electro, electronic",79,https://i.scdn.co/image/ab6761610000e5eb61f92702ca14484aa263a931,https://open.spotify.com/artist/5he5w2lnU9x7JFhnwcekXX
