"id","user_id","track_id","name","artists","played_at","album_name","album_image","spotify_url"
28,1,"1oAwsWBovWRIp7qLMGPIet",Apocalypse,Cigarettes After Sex,2025-04-04 21:03:42.096,Cigarettes After Sex,https://i.scdn.co/image/ab67616d0000b273dfed999f959177dfc4f33cdc,https://open.spotify.com/track/1oAwsWBovWRIp7qLMGPIet
29,1,"5E02BgqYNN9VzafXrYP6Np",Heavenly,Cigarettes After Sex,2025-04-04 20:58:49.691,Cry,https://i.scdn.co/image/ab67616d0000b2738324db1ae37be249aed887e7,https://open.spotify.com/track/5E02BgqYNN9VzafXrYP6Np
30,1,"5E02BgqYNN9VzafXrYP6Np",Heavenly,Cigarettes After Sex,2025-04-04 20:54:27.840,Cry,https://i.scdn.co/image/ab67616d0000b2738324db1ae37be249aed887e7,https://open.spotify.com/track/5E02BgqYNN9VzafXrYP6Np
31,1,"7fPSEiiNsZ5JybOoXLkaZN",My Mind,Suki Waterhouse,2025-04-04 20:53:33.334,I Can't Let Go,https://i.scdn.co/image/ab67616d0000b273499abd71f3d723ab3d3e0bfa,https://open.spotify.com/track/7fPSEiiNsZ5JybOoXLkaZN
32,1,"68Hj6boN4Yo2l7RZBnSpW0",Starry Eyes,Cigarettes After Sex,2025-04-04 20:50:20.318,I.,https://i.scdn.co/image/ab67616d0000b273f20d15ff288e94492f7097eb,https://open.spotify.com/track/68Hj6boN4Yo2l7RZBnSpW0
33,1,"1DZNsoWduUjm2o04R47rDk",Hot,Cigarettes After Sex,2025-04-04 20:46:53.804,X's,https://i.scdn.co/image/ab67616d0000b273967004d2f641e38309a0b547,https://open.spotify.com/track/1DZNsoWduUjm2o04R47rDk
34,1,"2xGjfbXZnI8uQDhukoQURQ",K.,Cigarettes After Sex,2025-04-04 20:42:55.808,Cigarettes After Sex,https://i.scdn.co/image/ab67616d0000b273dfed999f959177dfc4f33cdc,https://open.spotify.com/track/2xGjfbXZnI8uQDhukoQURQ
35,1,"5HNCy40Ni5BZJFw1TKzRsC",Comfortably Numb,Pink Floyd,2025-04-04 11:58:17.924,The Wall,https://i.scdn.co/image/ab67616d0000b2735d48e2f56d691f9a4e4b0bdf,https://open.spotify.com/track/5HNCy40Ni5BZJFw1TKzRsC
36,1,"09vTt6XBuGGTQlmL7Ehwi7",SLICKMAN,Skrillex,2025-04-04 11:45:10.757,F*CK U SKRILLEX YOU THINK UR ANDY WARHOL BUT UR NOT!! <3,https://i.scdn.co/image/ab67616d0000b273ef32751589a91db8bb46fa26,https://open.spotify.com/track/09vTt6XBuGGTQlmL7Ehwi7
37,1,"2MX61zLIo9LohKn8cGTqY8",WHILE YOU WERE SLEEPING VIP,"Skrillex, Virtual Riot, Nakeesha",2025-04-04 11:44:25.959,F*CK U SKRILLEX YOU THINK UR ANDY WARHOL BUT UR NOT!! <3,https://i.scdn.co/image/ab67616d0000b273ef32751589a91db8bb46fa26,https://open.spotify.com/track/2MX61zLIo9LohKn8cGTqY8
38,1,"0IzEFIuQ216h7pq4HKsqY4",SPITFIRE,"Skrillex, HAWAII SLIM",2025-04-04 11:42:59.657,F*CK U SKRILLEX YOU THINK UR ANDY WARHOL BUT UR NOT!! <3,https://i.scdn.co/image/ab67616d0000b273ef32751589a91db8bb46fa26,https://open.spotify.com/track/0IzEFIuQ216h7pq4HKsqY4
39,1,"3tkzHn6WVGdAGEet1J4VDt",SKRILLEX IS DEAD,"Skrillex, Dj Smokey",2025-04-04 11:41:30.058,F*CK U SKRILLEX YOU THINK UR ANDY WARHOL BUT UR NOT!! <3,https://i.scdn.co/image/ab67616d0000b273ef32751589a91db8bb46fa26,https://open.spotify.com/track/3tkzHn6WVGdAGEet1J4VDt
40,1,"7z7kvUQGwlC6iOl7vMuAr9",Dancing In The Flames,The Weeknd,2025-04-04 11:38:16.606,Dancing In The Flames,https://i.scdn.co/image/ab67616d0000b273f0e9b93cadbeb4d0227a59eb,https://open.spotify.com/track/7z7kvUQGwlC6iOl7vMuAr9
41,1,"0yuAWlxq59xT3agQ965OxE",Sunsetz,Cigarettes After Sex,2025-04-04 21:32:27.412,Cigarettes After Sex,https://i.scdn.co/image/ab67616d0000b273dfed999f959177dfc4f33cdc,https://open.spotify.com/track/0yuAWlxq59xT3agQ965OxE
42,1,"5FCMqNc9fodjQRIXbG7Ld1",i don't know you anymore,sombr,2025-04-04 21:28:52.212,i don't know you anymore,https://i.scdn.co/image/ab67616d0000b2735282e0f6d9ad9b0fbb070d59,https://open.spotify.com/track/5FCMqNc9fodjQRIXbG7Ld1
43,1,"3g7ngtg7xK3N9nKwAjDfH3",Falling In Love,Cigarettes After Sex,2025-04-04 21:25:03.906,Cry,https://i.scdn.co/image/ab67616d0000b2738324db1ae37be249aed887e7,https://open.spotify.com/track/3g7ngtg7xK3N9nKwAjDfH3
44,1,"5ZP8LfM7TezqoxF9yp6VzX",Stop Waiting,Cigarettes After Sex,2025-04-04 21:20:57.603,Bubblegum,https://i.scdn.co/image/ab67616d0000b273f00e7eae8e4ed688e17fc118,https://open.spotify.com/track/5ZP8LfM7TezqoxF9yp6VzX
45,1,"3xQgvGwf3KnaYry1bPsQIb",Silver Sable,Cigarettes After Sex,2025-04-04 21:14:31.807,X's,https://i.scdn.co/image/ab67616d0000b273967004d2f641e38309a0b547,https://open.spotify.com/track/3xQgvGwf3KnaYry1bPsQIb
46,1,"3hRV0jL3vUpRrcy398teAU",The Night We Met,Lord Huron,2025-04-04 21:10:39.397,Strange Trails,https://i.scdn.co/image/ab67616d0000b27317875a0610c23d8946454583,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU
47,1,"4z6qtN4iZ7MPVZYCtiSgsM",Brutally,Suki Waterhouse,2025-04-04 21:07:10.692,Brutally,https://i.scdn.co/image/ab67616d0000b27349355ed46f99fa1eb339ec86,https://open.spotify.com/track/4z6qtN4iZ7MPVZYCtiSgsM
48,1,"1oAwsWBovWRIp7qLMGPIet",Apocalypse,Cigarettes After Sex,2025-04-04 21:03:42.096,Cigarettes After Sex,https://i.scdn.co/image/ab67616d0000b273dfed999f959177dfc4f33cdc,https://open.spotify.com/track/1oAwsWBovWRIp7qLMGPIet
49,1,"5E02BgqYNN9VzafXrYP6Np",Heavenly,Cigarettes After Sex,2025-04-04 20:58:49.691,Cry,https://i.scdn.co/image/ab67616d0000b2738324db1ae37be249aed887e7,https://open.spotify.com/track/5E02BgqYNN9VzafXrYP6Np
50,1,"5E02BgqYNN9VzafXrYP6Np",Heavenly,Cigarettes After Sex,2025-04-04 20:54:27.840,Cry,https://i.scdn.co/image/ab67616d0000b2738324db1ae37be249aed887e7,https://open.spotify.com/track/5E02BgqYNN9VzafXrYP6Np
51,1,"7fPSEiiNsZ5JybOoXLkaZN",My Mind,Suki Waterhouse,2025-04-04 20:53:33.334,I Can't Let Go,https://i.scdn.co/image/ab67616d0000b273499abd71f3d723ab3d3e0bfa,https://open.spotify.com/track/7fPSEiiNsZ5JybOoXLkaZN
52,1,"68Hj6boN4Yo2l7RZBnSpW0",Starry Eyes,Cigarettes After Sex,2025-04-04 20:50:20.318,I.,https://i.scdn.co/image/ab67616d0000b273f20d15ff288e94492f7097eb,https://open.spotify.com/track/68Hj6boN4Yo2l7RZBnSpW0
53,1,"1DZNsoWduUjm2o04R47rDk",Hot,Cigarettes After Sex,2025-04-04 20:46:53.804,X's,https://i.scdn.co/image/ab67616d0000b273967004d2f641e38309a0b547,https://open.spotify.com/track/1DZNsoWduUjm2o04R47rDk
54,1,"2xGjfbXZnI8uQDhukoQURQ",K.,Cigarettes After Sex,2025-04-04 20:42:55.808,Cigarettes After Sex,https://i.scdn.co/image/ab67616d0000b273dfed999f959177dfc4f33cdc,https://open.spotify.com/track/2xGjfbXZnI8uQDhukoQURQ
55,1,"5HNCy40Ni5BZJFw1TKzRsC",Comfortably Numb,Pink Floyd,2025-04-04 11:58:17.924,The Wall,https://i.scdn.co/image/ab67616d0000b2735d48e2f56d691f9a4e4b0bdf,https://open.spotify.com/track/5HNCy40Ni5BZJFw1TKzRsC
56,1,"09vTt6XBuGGTQlmL7Ehwi7",SLICKMAN,Skrillex,2025-04-04 11:45:10.757,F*CK U SKRILLEX YOU THINK UR ANDY WARHOL BUT UR NOT!! <3,https://i.scdn.co/image/ab67616d0000b273ef32751589a91db8bb46fa26,https://open.spotify.com/track/09vTt6XBuGGTQlmL7Ehwi7
57,1,"2MX61zLIo9LohKn8cGTqY8",WHILE YOU WERE SLEEPING VIP,"Skrillex, Virtual Riot, Nakeesha",2025-04-04 11:44:25.959,F*CK U SKRILLEX YOU THINK UR ANDY WARHOL BUT UR NOT!! <3,https://i.scdn.co/image/ab67616d0000b273ef32751589a91db8bb46fa26,https://open.spotify.com/track/2MX61zLIo9LohKn8cGTqY8
58,1,"0IzEFIuQ216h7pq4HKsqY4",SPITFIRE,"Skrillex, HAWAII SLIM",2025-04-04 11:42:59.657,F*CK U SKRILLEX YOU THINK UR ANDY WARHOL BUT UR NOT!! <3,https://i.scdn.co/image/ab67616d0000b273ef32751589a91db8bb46fa26,https://open.spotify.com/track/0IzEFIuQ216h7pq4HKsqY4
59,1,"3tkzHn6WVGdAGEet1J4VDt",SKRILLEX IS DEAD,"Skrillex, Dj Smokey",2025-04-04 11:41:30.058,F*CK U SKRILLEX YOU THINK UR ANDY WARHOL BUT UR NOT!! <3,https://i.scdn.co/image/ab67616d0000b273ef32751589a91db8bb46fa26,https://open.spotify.com/track/3tkzHn6WVGdAGEet1J4VDt
60,1,"7z7kvUQGwlC6iOl7vMuAr9",Dancing In The Flames,The Weeknd,2025-04-04 11:38:16.606,Dancing In The Flames,https://i.scdn.co/image/ab67616d0000b273f0e9b93cadbeb4d0227a59eb,https://open.spotify.com/track/7z7kvUQGwlC6iOl7vMuAr9
